R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,frac_damaged
0.903528099808482,0.0964719001915178,0.4983869185095407,0.5016130814904592,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,00,operational,0,0.4035087719298245
0.8992222048923,0.1007777951077,0.4983869185095407,0.5016130814904592,360.0,1170.0,False,3760.0,0.0,0.9999999999999992,01,operational,0,0.4035087719298245
0.8960823936172058,0.1039176063827942,0.5186643347402689,0.4813356652597311,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,10,operational,0,0.4035087719298245
0.8259756969144292,0.1740243030855708,0.5186643347402689,0.4813356652597311,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,0,0.4035087719298245
0.9013436980657528,0.0986563019342472,0.6916793730337041,0.3083206269662958,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,00,operational,1,0.3508771929824561
0.8940115498998127,0.1059884501001873,0.6916793730337041,0.3083206269662958,360.0,1210.0,False,3760.0,0.0,0.9999999999999992,01,operational,1,0.3508771929824561
0.8889067493786836,0.1110932506213163,0.8029932044514004,0.1970067955485995,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,10,operational,1,0.3508771929824561
0.8820116431842648,0.1179883568157351,0.8029932044514004,0.1970067955485995,360.0,1220.0,False,3760.0,0.0,0.9999999999999992,11,operational,1,0.3508771929824561
0.850757915313436,0.1492420846865639,0.7750366746214051,0.2249633253785949,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,00,operational,2,0.4385964912280701
0.8396851213455333,0.1603148786544667,0.7750366746214051,0.2249633253785949,360.0,1570.0,False,3760.0,0.0,0.9999999999999992,01,operational,2,0.4385964912280701
0.8421099083073857,0.1578900916926142,0.8123674851011937,0.1876325148988063,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,10,operational,2,0.4385964912280701
0.8303538683755072,0.1696461316244928,0.8123674851011937,0.1876325148988063,360.0,1600.0,False,3760.0,0.0,0.9999999999999992,11,operational,2,0.4385964912280701
0.9096125374747408,0.0903874625252592,0.4831892132799141,0.5168107867200858,360.0,1090.0,False,3760.0,0.0,0.9999999999999992,00,operational,3,0.4210526315789473
0.9062498008824588,0.0937501991175413,0.4831892132799141,0.5168107867200858,360.0,1130.0,False,3760.0,0.0,0.9999999999999992,01,operational,3,0.4210526315789473
0.8994061465029551,0.1005938534970448,0.510078426729551,0.489921573270449,360.0,1090.0,False,3760.0,0.0,0.9999999999999992,10,operational,3,0.4210526315789473
0.8921341008891298,0.1078658991108701,0.510078426729551,0.489921573270449,360.0,1170.0,False,3760.0,0.0,0.9999999999999992,11,operational,3,0.4210526315789473
0.9111459901926048,0.0888540098073953,0.5260916565153928,0.4739083434846071,360.0,1010.0,False,3760.0,0.0,0.9999999999999992,00,operational,4,0.3508771929824561
0.903286256117387,0.096713743882613,0.5260916565153928,0.4739083434846071,360.0,1110.0,False,3760.0,0.0,0.9999999999999992,01,operational,4,0.3508771929824561
0.9045530857199148,0.0954469142800852,0.5388704230515181,0.4611295769484819,360.0,1010.0,False,3760.0,0.0,0.9999999999999992,10,operational,4,0.3508771929824561
0.7860921810512289,0.2139078189487711,0.5388704230515181,0.4611295769484819,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,4,0.3508771929824561
0.9473650820202354,0.0526349179797646,0.4232827758911381,0.5767172241088618,360.0,720.0,False,3760.0,0.0,0.9999999999999992,00,operational,5,0.2807017543859649
0.946726880161901,0.053273119838099,0.4232827758911381,0.5767172241088618,360.0,730.0,False,3760.0,0.0,0.9999999999999992,01,operational,5,0.2807017543859649
0.9448907463406911,0.0551092536593087,0.427800675291169,0.572199324708831,360.0,720.0,False,3760.0,0.0,0.9999999999999992,10,operational,5,0.2807017543859649
0.9439827784031332,0.0560172215968668,0.427800675291169,0.572199324708831,360.0,740.0,False,3760.0,0.0,0.9999999999999992,11,operational,5,0.2807017543859649
0.8996173074617629,0.100382692538237,0.5502983567530346,0.4497016432469653,360.0,1180.0,False,3760.0,0.0,0.9999999999999992,00,operational,6,0.4561403508771929
0.8878110084836831,0.1121889915163169,0.5502983567530346,0.4497016432469653,360.0,1300.0,False,3760.0,0.0,0.9999999999999992,01,operational,6,0.4561403508771929
0.8955856056666505,0.1044143943333495,0.5560237818783254,0.4439762181216747,360.0,1180.0,False,3760.0,0.0,0.9999999999999992,10,operational,6,0.4561403508771929
0.818394184062081,0.181605815937919,0.5560237818783254,0.4439762181216747,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,6,0.4561403508771929
0.9742705067553444,0.0257294932446556,0.3347184799889621,0.6652815200110379,360.0,450.0,False,3760.0,0.0,0.9999999999999992,00,operational,7,0.1929824561403508
0.9739431142404458,0.0260568857595542,0.3347184799889621,0.6652815200110379,360.0,450.0,False,3760.0,0.0,0.9999999999999992,01,operational,7,0.1929824561403508
0.9722755934551048,0.0277244065448951,0.3480216738089928,0.6519783261910072,360.0,450.0,False,3760.0,0.0,0.9999999999999992,10,operational,7,0.1929824561403508
0.9712867697857888,0.0287132302142111,0.3480216738089928,0.6519783261910072,360.0,470.0,False,3760.0,0.0,0.9999999999999992,11,operational,7,0.1929824561403508
0.9633289310272168,0.0366710689727831,0.3155067966282663,0.6844932033717337,360.0,600.0,False,3760.0,0.0,0.9999999999999992,00,operational,8,0.1578947368421052
0.9614568181847754,0.0385431818152246,0.3155067966282663,0.6844932033717337,360.0,640.0,False,3760.0,0.0,0.9999999999999992,01,operational,8,0.1578947368421052
0.9603549659025382,0.0396450340974617,0.3404276748479073,0.6595723251520926,360.0,600.0,False,3760.0,0.0,0.9999999999999992,10,operational,8,0.1578947368421052
0.8826994803816935,0.1173005196183064,0.3404276748479073,0.6595723251520926,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,8,0.1578947368421052
